proxtarg,disttarg,proxtdl,disttdl
-60.0,-60.0,-2.6781649589538574,-7.778976917266846
-60.0,-45.0,-2.9971671104431152,-6.527694225311279
-60.0,-30.0,-3.1293423175811768,-5.532526969909668
-60.0,-15.0,-3.039994716644287,-4.528889179229736
-60.0,0.0,-3.997267007827759,-3.1954915523529053
-60.0,15.0,-4.118863105773926,-1.5624449253082275
-60.0,30.0,-4.843627452850342,0.030899882316589355
-60.0,45.0,-5.346229553222656,1.6816515922546387
-60.0,60.0,-6.2112016677856445,2.953528881072998
-45.0,-60.0,-1.3757323026657104,-7.035089492797852
-45.0,-45.0,-1.9443395137786865,-5.726410865783691
-45.0,-30.0,-2.1603245735168457,-4.554595470428467
-45.0,-15.0,-2.292978048324585,-3.564103841781616
-45.0,0.0,-3.6241378784179688,-2.1941323280334473
-45.0,15.0,-3.4362902641296387,-1.031905174255371
-45.0,30.0,-4.465263366699219,1.0594658851623535
-45.0,45.0,-4.200525283813477,1.9763352870941162
-45.0,60.0,-4.46151065826416,3.4211227893829346
-30.0,-60.0,-0.4808371663093567,-6.096113204956055
-30.0,-45.0,-0.5515519976615906,-5.068604469299316
-30.0,-30.0,-1.060011386871338,-3.839273691177368
-30.0,-15.0,-1.2294228076934814,-2.8532357215881348
-30.0,0.0,-2.690552234649658,-1.510061264038086
-30.0,15.0,-2.152672290802002,-0.054386794567108154
-30.0,30.0,-2.2181808948516846,1.138573169708252
-30.0,45.0,-3.635920763015747,2.8662092685699463
-30.0,60.0,-3.2126107215881348,3.9856247901916504
-15.0,-60.0,1.037290096282959,-5.432870864868164
-15.0,-45.0,0.05345778912305832,-4.172025203704834
-15.0,-30.0,-0.09718615561723709,-3.1173579692840576
-15.0,-15.0,-0.21943874657154083,-2.0400729179382324
-15.0,0.0,-0.8850287795066833,-0.9293564558029175
-15.0,15.0,-1.2501232624053955,0.8088394999504089
-15.0,30.0,-1.1997050046920776,1.882142424583435
-15.0,45.0,-2.4887876510620117,3.2570204734802246
-15.0,60.0,-2.1863324642181396,4.750746726989746
0.0,-60.0,1.9783321619033813,-4.918967247009277
0.0,-45.0,1.3012560606002808,-3.1880033016204834
0.0,-30.0,0.9294804334640503,-2.102644443511963
0.0,-15.0,0.5530951619148254,-1.1283836364746094
0.0,0.0,0.06428953260183334,-0.09343063831329346
0.0,15.0,-0.11637438088655472,1.1685023307800293
0.0,30.0,-0.8741126656532288,2.7230517864227295
0.0,45.0,-1.0999740362167358,4.096005916595459
0.0,60.0,-1.0272163152694702,5.265860557556152
15.0,-60.0,2.7689905166625977,-4.050355434417725
15.0,-45.0,2.0794014930725098,-2.8556294441223145
15.0,-30.0,1.8524636030197144,-1.7713844776153564
15.0,-15.0,1.530521035194397,-0.5882458090782166
15.0,0.0,1.0956711769104004,0.8962737917900085
15.0,15.0,0.8499361276626587,1.9845309257507324
15.0,30.0,0.7000599503517151,3.3677284717559814
15.0,45.0,0.11634387075901031,4.8005781173706055
15.0,60.0,-0.023792225867509842,5.9848761558532715
30.0,-60.0,4.007474422454834,-3.243204355239868
30.0,-45.0,3.417280912399292,-2.0473849773406982
30.0,-30.0,2.970667839050293,-0.9429735541343689
30.0,-15.0,2.7758986949920654,0.12251627445220947
30.0,0.0,1.9072868824005127,1.78706955909729
30.0,15.0,1.7674766778945923,3.000075340270996
30.0,30.0,1.5714030265808105,4.326114654541016
30.0,45.0,1.1213332414627075,5.715900421142578
30.0,60.0,0.6002019643783569,6.845659255981445
45.0,-60.0,4.978809356689453,-2.839399814605713
45.0,-45.0,4.655325889587402,-1.776625633239746
45.0,-30.0,4.202010154724121,-0.5984280705451965
45.0,-15.0,3.865060329437256,1.0399200916290283
45.0,0.0,3.2030510902404785,2.266777515411377
45.0,15.0,2.9987642765045166,3.9890518188476562
45.0,30.0,2.6814236640930176,5.130649089813232
45.0,45.0,1.6010749340057373,6.411499500274658
45.0,60.0,1.3864179849624634,7.755186080932617
60.0,-60.0,6.012107849121094,-2.0777382850646973
60.0,-45.0,5.875476837158203,-1.0487347841262817
60.0,-30.0,5.162178039550781,-0.02801990509033203
60.0,-15.0,4.709568500518799,1.8395519256591797
60.0,0.0,4.460724830627441,3.1142683029174805
60.0,15.0,4.169824600219727,4.761661529541016
60.0,30.0,3.8265433311462402,5.887816905975342
60.0,45.0,2.609381675720215,7.205798149108887
60.0,60.0,2.4416086673736572,8.811442375183105
