mt1,mt2,mt3,mt4
0,-8.33572899,-1.6586505,-1.6586505
0,-7.141914661,-1.873396291,-1.873396291
0,-5.948100332,-2.088142083,-2.088142083
0,-4.754286003,-2.302887874,-2.302887874
0,-3.560471674,-2.517633665,-2.517633665
0,-2.318109466,-2.766707991,-2.766707991
0,-1.075747258,-3.015782317,-3.015782317
0,0.166614951,-3.264856643,-3.264856643
0,1.408977159,-3.513930969,-3.513930969
0,-7.472007771,-1.010576798,-1.010576798
0,-6.271594267,-1.229988911,-1.229988911
0,-5.071180763,-1.449401024,-1.449401024
0,-3.870767259,-1.668813136,-1.668813136
0,-2.670353756,-1.888225249,-1.888225249
0,-1.433529342,-2.133383762,-2.133383762
0,-0.196704929,-2.378542276,-2.378542276
0,1.040119485,-2.62370079,-2.62370079
0,2.276943898,-2.868859303,-2.868859303
0,-6.60768005,-0.362931959,-0.362931959
0,-5.400818997,-0.586903177,-0.586903177
0,-4.193957943,-0.810874396,-0.810874396
0,-2.98709689,-1.034845614,-1.034845614
0,-1.780235837,-1.258816832,-1.258816832
0,-0.549100844,-1.499952318,-1.499952318
0,0.682034149,-1.741087804,-1.741087804
0,1.913169142,-1.98222329,-1.98222329
0,3.144304134,-2.223358776,-2.223358776
0,-5.742745825,0.284284018,0.284284018
0,-4.529588849,0.05586091,0.05586091
0,-3.316431872,-0.172562199,-0.172562199
0,-2.103274895,-0.400985308,-0.400985308
0,-0.890117919,-0.629408416,-0.629408416
0,0.335176028,-0.866413659,-0.866413659
0,1.560469975,-1.103418901,-1.103418901
0,2.785763921,-1.340424143,-1.340424143
0,4.011057868,-1.577429386,-1.577429386
0,-4.877205098,0.931071133,0.931071133
0,-3.657903824,0.69830335,0.69830335
0,-2.438602549,0.465535567,0.465535567
0,-1.219301275,0.232767783,0.232767783
0,0,0,0
0,1.219301275,-0.232767783,-0.232767783
0,2.438602549,-0.465535567,-0.465535567
0,3.657903824,-0.69830335,-0.69830335
0,4.877205098,-0.931071133,-0.931071133
0,-3.962509988,1.543100851,1.543100851
0,-2.749353012,1.314677742,1.314677742
0,-1.536196035,1.086254634,1.086254634
0,-0.323039058,0.857831525,0.857831525
0,0.890117919,0.629408416,0.629408416
0,2.115411865,0.392403174,0.392403174
0,3.340705812,0.155397932,0.155397932
0,4.565999758,-0.081607311,-0.081607311
0,5.791293705,-0.318612553,-0.318612553
0,-3.047208376,2.154701706,2.154701706
0,-1.840347322,1.930730488,1.930730488
0,-0.633486269,1.706759269,1.706759269
0,0.573374784,1.482788051,1.482788051
0,1.780235837,1.258816832,1.258816832
0,3.01137083,1.017681347,1.017681347
0,4.242505823,0.776545861,0.776545861
0,5.473640816,0.535410375,0.535410375
0,6.704775809,0.294274889,0.294274889
0,-2.13130026,2.765873699,2.765873699
0,-0.930886756,2.546461586,2.546461586
0,0.269526748,2.327049474,2.327049474
0,1.469940252,2.107637361,2.107637361
0,2.670353756,1.888225249,1.888225249
0,3.907178169,1.643066735,1.643066735
0,5.144002582,1.397908221,1.397908221
0,6.380826996,1.152749708,1.152749708
0,7.617651409,0.907591194,0.907591194
0,-1.214785641,3.37661683,3.37661683
0,-0.020971313,3.161871038,3.161871038
0,1.172843016,2.947125247,2.947125247
0,2.366657345,2.732379456,2.732379456
0,3.560471674,2.517633665,2.517633665
0,4.802833882,2.268559339,2.268559339
0,6.045196091,2.019485013,2.019485013
0,7.287558299,1.770410687,1.770410687
0,8.529920507,1.521336361,1.521336361
